Route,PU_Borough,DO_Borough,Number of Trips,Total Revenue
Forest Hills to Forest Hills,Queens,Queens,1149,14774.87
Elmhurst to LaGuardia Airport,Queens,Queens,405,11317.94
Elmhurst to Jackson Heights,Queens,Queens,468,7686.4
Elmhurst to Elmhurst,Queens,Queens,394,5828.26
Astoria to Astoria,Queens,Queens,435,5034.65
