Route,PU_Borough,DO_Borough,Number of Trips,Total Revenue
Fort Greene to Clinton Hill,Brooklyn,Brooklyn,302,4622.21
Fort Greene to Crown Heights North,Brooklyn,Brooklyn,178,3963.64
Fort Greene to Fort Greene,Brooklyn,Brooklyn,251,3322.74
Fort Greene to Park Slope,Brooklyn,Brooklyn,179,3182.32
Sheepshead Bay to Sheepshead Bay,Brooklyn,Brooklyn,169,3128.37
